编码:            -------------   399005   ----------

日期        总成交量 总成交额   O        C        H        L        涨幅   沪股通   深股通
2017.03.24(周五) 7138万   1221.39亿  6809.10  6861.22  6875.90  6809.10  +0.75% +11.3亿  +6.92亿  平开震荡收涨.

2017.03.23(周四) 7441万   1347.55亿  6786.79  6809.97  6832.97  6745.56  +8.23亿  +9.80亿  平开震荡微涨. 13：40有一波探底.

2017.03.22(周三) 7188万   1275.07亿  6768.97  6786.08  6802.44  6746.29  +0.12亿  +6.41亿  低开震荡微跌.

2017.03.21(周二) 6660万   1189.77亿  6761.36  6800.83  6800.83  6751.98  +8.45亿  +1.48亿  微幅低开震荡收涨.

2017.03.20(周一) 7329万   1237.45亿  6751.00  6762.07  6770.06  6715.81  +15.2亿  +2.59亿  微幅低开震荡微涨.

2017.03.17(周五) 8665万   1453.85亿  6842.98  6759.80  6855.16  6759.80  +11.0亿  +2.44亿  微幅高开震荡大跌.  正常盘整.

2017.03.16(周四) 7885万   1322.92亿  6807.38  6839.94  6843.30  6807.38  +12.9亿  +6.23亿  高开震荡收涨. 

2017.03.15(周三) 6698万   1097.80亿  6784.74  6786.81  6791.63  6764.41  -2.86亿  +7.57亿  低开震荡微跌. 

2017.03.14(周二) 6769万   1128.73亿  6816.33  6791.67  6827.00  6780.28  -8.38亿  -0.49亿  高开震荡收跌. 周三美联储加息大概率, 资金谨慎

2017.03.13(周一) 6816万   1152.36亿  6719.47  6808.17  6808.17  6698.06  -0.72亿  +9.45亿  平开震荡大涨. 沪股通资金继续大幅撤离

2017.03.10(周五) 6197万   1067.23亿  6674.06  6718.11  6739.15  6674.06  -16.1亿  +8.81亿  高开震荡收涨. 沪股通资金继续大幅撤离

2017.03.09(周四) 6466万   1064.30亿  6711.35  6676.27  6711.70  65659.23 -20.7亿  +2.77亿  高开震荡收跌. 沪股通资金大幅撤离

2017.03.08(周三) 6564万   1106.75亿  6763.38  6720.37  6763.38  6707.97  -2.68亿  +4.77亿  平开震荡收跌. 正常调整, 行情没有结束.

2017.03.07(周二) 7404万   1246.44亿  6750.45  6761.63  6771.33  6729.99  -3.57亿  +8.08亿  低开拉升微涨. 震荡减缓. 三红兵, 强势...

2017.03.06(周一) 7280万   1223.58亿   6686.86  6752.41  6752.41  6685.33  -2.43亿  +6.79亿  高开拉升放量大涨. 光头光脚大阳线. 中小创大涨.

2017.03.03(周五)  6805万   1148.70亿   6611.90  6679.28  6686.16  6602.11  -2.94亿  +5.38亿  低开震荡回升收涨. 

2017.03.02(周四)  6826万    1122.91亿   6650.12  6623.81  6663.98  6619.61  -0.99亿  +6.07亿  高开震荡微跌. 两会第一天， 政协会议第一天  

------------------------- 399005 ------------------

2017.03.01(周三)  399005   7200万     1173.60亿     6620.93   6640.58    6657.60    6613.03   +5.59亿  +7.04亿  震荡微涨. 震荡减弱了.要启动前的征兆.  

2017.02.28(周二)  399005   6485万     1040.97亿     6604.59   6625.60    6633.87    6600.19   -0.54亿  +3.39亿  震荡微涨.  

2017.02.27(周一)  399005   6864万     1076.41亿     6637.96   6600.16    6660.46    6595.52   +1.29亿  +3.90亿  平开震荡下落收跌.  

2017.02.24(周五)  399005   7309万     1157.91亿     6630.26   6635.27    6648.95    6619.65   +3.63亿  +5.71亿  平开震荡微涨.  

2017.02.23(周四)  399005   7927万     1216.13亿     6627.44   6627.87    6642.18    6597.97   +4.51亿  +10.9亿  平开震荡攀升收平.  

2017.02.22(周三)  399005   7419万     1120.91亿     6599.59   6628.92    6628.92    6592.79   +4.29亿  +7.94亿  平开震荡攀升收涨.  

2017.02.21(周二)  399005   7503万     1102.52亿     6554.32   6596.76    6600.19    6550.75   +6.12亿  +8.51亿  高开震荡攀升收涨. 有缺口. 6548.80-6550.75 

2017.02.20(周一)  399005   6586万     986.17亿      6467.63   6546.25    6548.80    6467.63   +13.1亿  +6.81亿  平开震荡攀升大涨. 

2017.02.17(周五)  399005   6667万     1008.36亿     6504.03   6465.45    6536.86    6461.87   +2.37亿  +10.8亿  冲高回落, 震荡收跌. 

2017.02.16(周四)  399005   5944万     909.57亿      6454.76   6499.05    6502.34    6439.93   +11.5亿  +8.63亿  平开,震荡收涨. 

2017.02.15(周三)  399005   6560万     1035.23亿     6504.20   6449.05    6519.10    6439.11   +19.2亿  +5.25亿  平开,震荡下跌收跌. 

2017.02.14(周二)  399005   5912万     914.67亿      6500.07   6504.99    6513.23    6482.41   +8.97亿  +5.63亿  平开,震荡放缓, 微涨. 

2017.02.13(周一)  399005   6528万     988.91亿      6441.55   6499.69    6511.48    6439.58   +13.0亿  +5.08亿  平开,震荡放缓, 收涨. 

2017.02.10(周五)  399005   7157万     1057.91亿     6451.81   6442.28    6462.05    6430.51   +11.2亿  +6.41亿  震荡放缓, 微跌. . 

2017.02.09(周四)  399005   7178万     1076.60亿     6411.11   6445.23    6455.83    6403.70   +17.7亿  +2.67亿  放量上涨. 普涨. 

2017.02.08(周三)  399005   6119万     935.71亿      6354.13   6414.75    6414.75    6331.31   +5.61亿  +7.76亿  放量上涨. 普涨. 

2017.02.07(周二)  399005   5839万     875.37亿      6383.51   6362.21    6391.96    6336.90   +11.2亿  +6.69亿  震荡下跌. 

2017.02.06(周一)  399005   5107万     762.21亿      6335.21   6381.61    6381.72    6323.83   +2.15亿  +7.40亿  震荡上涨. 6323.8附近可能是底部

2017.02.03(周五)  399005   3482万     522.94亿      6353.77   6335.56    6359.30    6323.81   +6.88亿  +7.16亿  震荡微跌.

2017.01.26(周四)  399005   3923万     599.77亿      6311.06   6341.38    6341.55    6309.98   +4.82亿  +4.84亿  震荡微涨.

2017.01.25(周三)  399005   4382万     658.99亿      6272.17   6300.31    6308.47    6265.42   -0.11亿  +2.91亿  震荡微涨.

2017.01.24(周二)  399005   4680万     713.96亿      6293.73   6275.08    6298.32    6268.14   +7.35亿  +7.07亿  震荡微跌.

2017.01.23(周一)  399005   4850万     736.73亿      6275.79   6296.35    6328.24    6275.79   +7.20亿  +7.64亿  冲高回落收涨.

2017.01.20(周五)  399005   4570万     699.48亿      6181.35   6265.49    6273.64    6181.35   +9.24亿  +8.43亿  大涨. 量能不够, 可能是年前发红包行情.

2017.01.19(周四)  399005   4266万     650.82亿      6191.29   6186.37    6217.96    6175.90   +3.33亿  +8.09亿  震荡减弱,微跌. 夯实底部的过程.

2017.01.18(周三)  399005   4480万     691.36亿      6206.53   6206.26    6236.32    6187.83   +8.61亿  +6.15亿  缩量微跌. 夯实底部的过程.

2017.01.17(周二)  399005   5427万     803.99亿      6135.77   6215.17    6219.91    6093.17   +6.64亿  +5.84亿  探底反弹收涨. 需要确认底部.

2017.01.16(周一)  399005   7546万     1071.56亿     6316.76   6146.85    6316.76    5992.24   -12.7亿  +5.59亿  放量暴跌. 由于新华社IPO言论, 创业板崩盘..

2017.01.13(周五)  399005   5557万     859.71亿      6416.16   6324.51    6423.87    6321.10   +6.34亿  +6.21亿  震荡收跌, 底部下移.

2017.01.12(周四)  399005   5325万     829.91亿      6479.52   6415.37    6491.36    6410.50   +6.92亿  +6.02亿  震荡收跌, 很弱.

2017.01.11(周三)  399005   5595万     863.53亿      6530.02   6481.31    6547.04    6479.52   +8.46亿  +9.23亿  震荡减弱, 收跌. 

2017.01.10(周二)  399005   6122万     932.84亿      6549.44   6531.10    6562.97    6525.88   -5.66亿  +9.53亿  震荡减弱, 微跌. 

2017.01.09(周一)  399005   5970万     917.50亿      6514.42   6546.61    6562.35    6508.28   -8.47亿  +8.86亿  震荡减弱, 微涨. 

2017.01.06(周五)  399005   6477万     1010.49亿     6580.97   6520.04    6580.97    6520.04   -21.0亿  +6.44亿  震荡减弱, 大跌. 光头光脚, 在大红柱内,吓人的

2017.01.05(周四)  399005   6880万     1060.22亿     6593.53   6587.13    6606.66    6580.87   -9.13亿  +6.33亿  震荡减弱, 微跌. 消化获利盘.

